"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","arch_p_lag4","arch_p_lag5","arch_p_lag6","arch_p_lag7","jb_p","dm_p_1","dm_p_2"
"1","2011-01-01/2011-01-02","2011-01-03","ARIMA(2,0,0) with zero mean",0.00346888237976283,0.00354995523917084,0.00269119254672538,0.00274488633508763,0.936617954373954,0.606956523321607,0.511864073610145,0.621455136341666,4.88821482147461e-06,6.47270071219008e-06,8.57942026666336e-06,2.15538027318329e-05,0,8.7681923349438e-05,1.1961427268047e-07
"2","2011-01-02/2011-01-03","2011-01-04","ARIMA(1,1,1)",0.00328704504526646,0.00339272588997956,0.00257868859829495,0.00265696141321365,0.608605530324028,0.528199244056929,0.656192059163795,0.756253793743159,0.000853240741347405,0.00127597486311126,0.00148074126955411,0.00273903514134433,0,0.00010191837335067,1.51707229524882e-06
"3","2011-01-03/2011-01-04","2011-01-05","ARIMA(2,1,2)",0.00326016683434845,0.00335613999766382,0.00255830529808738,0.00264292866092086,0.985146418939912,0.971764692535756,0.906656381847358,0.921573359015784,0.0118717411189638,0.0224847093098897,0.039698699587446,0.0598892623087558,2.26302088179864e-10,0.000243919020481241,0.000100097487098055
"4","2011-01-04/2011-01-05","2011-01-06","ARIMA(0,1,2)",0.00295804248022025,0.00307350553170594,0.00234977661936571,0.0024391035756269,0.980788698213295,0.987159093613098,0.666544985129492,0.516555659874892,0.16742271900069,0.13680917053982,0.114257415398827,0.107300399847803,0.000455184299895772,8.87198373497743e-06,1.08747292287774e-07
"5","2011-01-05/2011-01-06","2011-01-07","ARIMA(0,1,2)",0.0032582373299252,0.00343066917121909,0.00257721847217276,0.00268350975153059,0.758773528261167,0.804557619458248,0.673597936634921,0.530982950054162,0.522647275837094,0.401817747205482,0.520434984261807,0.388727349547926,0.00060754646415162,3.26202872608937e-06,7.60814424376831e-12
"6","2011-01-06/2011-01-07","2011-01-08","ARIMA(2,1,1)",0.00385558587472406,0.00395070322173627,0.00303092810122194,0.00311956823662298,0.903176428663852,0.953517966644293,0.917894608291601,0.955758251819726,0.506337344469714,0.643362942734788,0.672686350347837,0.452651538874726,1.48173262548568e-09,0.00149158361257904,0.00157786013442332
"7","2011-01-07/2011-01-08","2011-01-09","ARIMA(1,1,1)",0.00387988334568555,0.00394935895974408,0.00306474182864245,0.00309907486106748,0.955365450035778,0.981063098798566,0.971323132412435,0.977352005938829,0.00176826942168484,0.000618955220951789,0.00136200977824052,0.00278803570024422,3.09847147939024e-09,0.111071334369455,0.013120189589997
"8","2011-01-08/2011-01-09","2011-01-10","ARIMA(1,0,1) with zero mean",0.00351578241914556,0.00363150023590577,0.00263244228487385,0.00271848892932716,0.99638422079848,0.996083515400056,0.997474715269954,0.97053191075317,0.0137727721139912,0.0278452086824741,0.0399279702761306,0.0655437223044517,9.50608324140623e-05,3.10091375624688e-06,2.181294979371e-05
"9","2011-01-09/2011-01-10","2011-01-11","ARIMA(1,1,1)",0.00337701133362199,0.00349508142796764,0.00269650469344774,0.00278142068212307,0.747414693543272,0.837638891766557,0.909704808499647,0.949524345258861,2.60724775102972e-12,6.46771525225631e-12,1.99563698899397e-11,5.90771875863538e-11,0,0.000283503076506813,3.18426283063788e-06
"10","2011-01-10/2011-01-11","2011-01-12","ARIMA(0,1,2)",0.0036689853600105,0.00382662958081808,0.00277035168765089,0.00290557085691438,0.296170908592673,0.423628114694154,0.545178541544199,0.635062046235968,4.94948591001076e-08,1.69931701266002e-07,4.06796691776456e-07,1.0036393062185e-06,0,1.65810344126623e-06,1.14990790124589e-05
"11","2011-01-11/2011-01-12","2011-01-13","ARIMA(2,1,2)",0.00331099918039874,0.00347493968613848,0.00261107202845958,0.00272003445909943,0.632622237604106,0.766262914887418,0.81910617504441,0.874679769754472,0,0,0,0,0,4.26573402290138e-05,2.40083253377196e-07
"12","2011-01-12/2011-01-13","2011-01-14","ARIMA(0,1,2)",0.00325962139379491,0.00343311409261567,0.00261126098520639,0.00274005141546967,0.45150223057112,0.595109482682069,0.716598549040865,0.810623325953686,0,0,0,0,0,7.35778306625939e-07,3.66827193720886e-10
"13","2011-01-13/2011-01-14","2011-01-15","ARIMA(2,1,1)",0.00378926724964035,0.00386729059432413,0.00299696213683803,0.00304299491264391,0.987569323526435,0.996866467984629,0.969752428316552,0.961976123711872,0.29969144590231,0.408291985209064,0.369731966932887,0.359204635331507,4.71104425003865e-06,0.067403184805134,0.0105662299839244
"14","2011-01-14/2011-01-15","2011-01-16","ARIMA(0,1,5)",0.00405371201733698,0.00413569765698457,0.00313841818270882,0.00323918683216921,0.99996659757939,0.99999630983311,0.986297955740495,0.993239896560514,0.00231985364139364,0.00465407427128628,0.00226715270507705,0.00299449651946293,3.04195283733488e-05,0.000195498428325646,0.00551601870509315
"15","2011-01-15/2011-01-16","2011-01-17","ARIMA(1,0,0) with zero mean",0.00354843967501718,0.0036785696505529,0.00280707104353778,0.00291969089111827,0.961702444313362,0.987410579354958,0.898895264246092,0.877233140815755,0.000681871533502743,0.0009966413230722,0.000759044103623263,0.000922292611681086,5.05956606167146e-06,1.55732027115862e-09,1.92504928755815e-10
"16","2011-01-16/2011-01-17","2011-01-18","ARIMA(0,1,2)",0.00334379159859336,0.00346757205799686,0.00262962848714089,0.00272473648600983,0.620857138180968,0.401944028471772,0.237589512306958,0.309241635420044,1.41524884874622e-05,4.06181346352952e-05,4.44411946443068e-05,5.54451826654256e-05,5.16884313128685e-11,8.22774265425157e-05,6.88199741921878e-06
"17","2011-01-17/2011-01-18","2011-01-19","ARIMA(0,1,5)",0.00346213210195901,0.0035994471814477,0.00271796174714054,0.0028311146883557,0.991807024219779,0.75467356091618,0.844257375482074,0.876986066254134,0.00320326401644666,0.00684326009130565,0.00744938876970869,0.0140599201180053,5.55130158192974e-05,6.87444184429935e-05,1.2244291733301e-05
"18","2011-01-18/2011-01-19","2011-01-20","ARIMA(0,1,2)",0.00358578759933961,0.00373514036583404,0.00282607006554719,0.00296722000984849,0.765082568957761,0.857757492802699,0.895316617841929,0.938118699692644,0.0034780770526025,0.00777325435787979,0.0134753604055121,0.0182535480836177,4.66402637855357e-06,5.36400737774387e-08,1.20442846996439e-07
"19","2011-01-19/2011-01-20","2011-01-21","ARIMA(0,1,2)",0.00358378925746281,0.00379656068402417,0.00281128435804529,0.00297394941116477,0.991897286811762,0.983338541787795,0.975621523921571,0.989586315570865,0.0172058569844079,0.0344584451558411,0.0547851870366495,0.0800363154018018,8.96890038903919e-08,1.38115165134782e-09,1.5338126961872e-12
"20","2011-01-20/2011-01-21","2011-01-22","ARIMA(0,1,2)",0.00381415861886193,0.00386876980190466,0.00296645544417246,0.0030240358915394,0.781873981209362,0.692957287634899,0.683584437625547,0.744913884503585,0.182430836123175,0.283184200143078,0.252667257608678,0.348226219100204,2.56908994078486e-09,0.0298969456961504,0.069943122296938
"21","2011-01-21/2011-01-22","2011-01-23","ARIMA(1,1,1)",0.00401508110661415,0.00408258235724603,0.00310243791904293,0.00315265318930473,0.666891498936634,0.210670298810813,0.246279042908822,0.338677396355282,4.71038097415999e-10,1.78934178585166e-09,1.60928936843163e-09,4.48695214316785e-09,2.16595519297869e-10,0.0390583620161106,0.0127054522303639
"22","2011-01-22/2011-01-23","2011-01-24","ARIMA(1,0,0) with zero mean",0.00354830580054058,0.00361243927171203,0.00281652153894236,0.00285847430369177,0.891288886548535,0.341468516147583,0.405575199248092,0.418320072261414,2.47562741206853e-06,7.4641058415148e-06,1.98084400434562e-05,3.54678113001494e-05,7.23532345148215e-13,0.0124413515175208,0.000326827150218897
"23","2011-01-23/2011-01-24","2011-01-25","ARIMA(0,1,2)",0.00357478141230155,0.00369889162267964,0.00280244810446883,0.00290162397916806,0.634264640825287,0.677936586894648,0.762829069659663,0.849036159154115,0.444702949203949,0.539742362770252,0.534145969216439,0.459304974129287,2.8609892233078e-11,2.09699126273162e-06,8.41001422631093e-09
"24","2011-01-24/2011-01-25","2011-01-26","ARIMA(2,1,2)",0.00336185148006165,0.00352369619062298,0.00267232673220018,0.00277632586536391,0.964092578796445,0.975598645743081,0.991409207118354,0.989795572440304,0.0552624048456777,0.0995154262905926,0.120704363187519,0.147677005009654,3.21174206292518e-05,2.2448235348767e-05,3.31472432674602e-09
"25","2011-01-25/2011-01-26","2011-01-27","ARIMA(0,1,4)",0.00356764075373348,0.00370229835530203,0.00271818484517396,0.00282029603908944,0.97555044659378,0.375541579389618,0.467931575648221,0.52320340962533,0.0794014093747978,0.135027171152693,0.167518549101208,0.225775981845044,0.00058284544681042,0.000104547382798823,7.48270678880668e-06
"26","2011-01-26/2011-01-27","2011-01-28","ARIMA(0,1,5)",0.00328109012112732,0.00342252978490936,0.00258972699379756,0.00270226765182267,0.984888470663997,0.544719330628101,0.668381196340069,0.642381432007025,0.125184943857097,0.195546767493798,0.289133896663699,0.388937909577679,0,1.47365772353917e-05,2.1123637160793e-07
"27","2011-01-27/2011-01-28","2011-01-29","ARIMA(2,1,2)",0.00346806111189177,0.00351614702566156,0.00268953764410323,0.00274076179282833,0.752950464577762,0.321898996229751,0.427894856738886,0.522319626309387,0.252429452512887,0.365372448457161,0.48428848507486,0.601612661988101,0,0.0225144851854943,0.046584246615574
"28","2011-01-28/2011-01-29","2011-01-30","ARIMA(0,1,2)",0.00379667510459394,0.00377399185724461,0.00294534697878023,0.00296916472411068,0.804008512016317,0.864371987928497,0.927652856337264,0.96456952342841,0.0239408325691396,0.0459875923632628,0.0610520090898989,0.0823360448268187,4.31987778881648e-13,0.166687840928588,0.787640758831731
