"","train_days","oos_day","spec","fcst_rmse","rw_rmse","fcst_mae","rw_mae","box_p_lag4","box_p_lag5","box_p_lag6","box_p_lag7","jb_p","dm_p_1","dm_p_2"
"1","2011-01-01/2011-01-04","2011-01-05","ARIMA(0,0,2) with zero mean",0.00329115329550982,0.00335613999766382,0.00257917445331163,0.00264292866092086,0.81400376850005,0.893689384256036,0.794939049620179,0.620358761062998,0,2.45418900266091e-05,5.92020322377377e-05
"2","2011-01-02/2011-01-05","2011-01-06","ARIMA(0,1,2)",0.0029594921921827,0.00307350553170594,0.00235082955240146,0.0024391035756269,0.572832211478591,0.486147712241549,0.424420948374445,0.472119682823302,0,4.30504411889625e-06,3.58232218244743e-08
"3","2011-01-03/2011-01-06","2011-01-07","ARIMA(0,1,2)",0.00325686246350707,0.00343066917121909,0.00257643087754729,0.00268350975153059,0.971148404530627,0.985989108546063,0.614293589100784,0.667557443869525,5.67323965583455e-14,4.64197956101132e-06,1.6795771176008e-11
"4","2011-01-04/2011-01-07","2011-01-08","ARIMA(1,1,2)",0.00385102686149471,0.00395070322173627,0.00302832217899573,0.00311956823662298,0.998784801539091,0.999830498686255,0.631019915340174,0.623746914769766,1.8786294742057e-10,0.000420746889838652,0.000361294806089836
"5","2011-01-05/2011-01-08","2011-01-09","ARIMA(1,1,2)",0.00388688146161862,0.00394935895974408,0.00307057857894285,0.00309907486106748,0.999766688105017,0.999961631888089,0.916094975492594,0.947136827626473,7.7715611723761e-16,0.146391828697123,0.0187421759096935
"6","2011-01-06/2011-01-09","2011-01-10","ARIMA(0,0,2) with zero mean",0.00350176750208918,0.00363150023590577,0.00262056630441742,0.00271848892932716,0.869160103013888,0.816857868211833,0.745222762565189,0.273620678754368,9.99200722162641e-16,6.85297277342388e-07,1.20439614015846e-05
"7","2011-01-07/2011-01-10","2011-01-11","ARIMA(0,0,2) with zero mean",0.00341963422668164,0.00349508142796764,0.00271765308822304,0.00278142068212307,0.987040099742788,0.739582409980556,0.586062295220967,0.193201661353541,0,0.00134200351314992,0.000596324804890875
"8","2011-01-08/2011-01-11","2011-01-12","ARIMA(1,0,0) with zero mean",0.00371401684776048,0.00382662958081808,0.0028328658836306,0.00290557085691438,0.715540151218718,0.656093912262574,0.303432268997743,0.104560341081725,0,0.00023782731722548,1.98986507844426e-06
"9","2011-01-09/2011-01-12","2011-01-13","ARIMA(0,1,5)",0.00331077891311994,0.00347493968613848,0.0026106393152617,0.00272003445909943,0.999897651636967,0.999729119110461,0.999948141040554,0.99983608557549,0,1.93106850163828e-05,7.27315713640254e-08
"10","2011-01-10/2011-01-13","2011-01-14","ARIMA(0,1,5)",0.00325788731982661,0.00343311409261567,0.00261149782643652,0.00274005141546967,0.999998837509801,0.997934234343368,0.999563026951947,0.998856906317624,0,1.51909465329029e-06,6.57767625988957e-10
"11","2011-01-11/2011-01-14","2011-01-15","ARIMA(0,1,5)",0.00377766910449913,0.00386729059432413,0.0029895927514057,0.00304299491264391,0.999912071377377,0.999992810228921,0.999727065998065,0.972096756140004,0,0.0347187356570428,0.0027785176914343
"12","2011-01-12/2011-01-15","2011-01-16","ARIMA(0,1,5)",0.00405556567985117,0.00413569765698457,0.00313932257791152,0.00323918683216921,0.999999929203796,0.999877543055475,0.996022979376569,0.997915463215053,0,0.000373519933233666,0.00904383535284091
"13","2011-01-13/2011-01-16","2011-01-17","ARIMA(0,0,3) with zero mean",0.00354052000125684,0.0036785696505529,0.00280302549650527,0.00291969089111827,0.976971319172957,0.677277909435843,0.789182676457371,0.45619319932369,2.66453525910038e-15,6.21086697630039e-09,5.08064113324565e-10
"14","2011-01-14/2011-01-17","2011-01-18","ARIMA(1,0,2) with zero mean",0.00339651954512975,0.00346757205799686,0.00266858230169592,0.00272473648600983,0.985113010489445,0.975675166443458,0.987314736024174,0.786262903303863,9.13713549266504e-14,0.00258550700905978,0.000367419080609316
"15","2011-01-15/2011-01-18","2011-01-19","ARIMA(0,0,2) with zero mean",0.003502138559563,0.0035994471814477,0.00275604267018874,0.0028311146883557,0.859790192430493,0.909091071368954,0.862035664616376,0.356448341059702,1.04360964314765e-14,7.52145808192673e-05,9.35316571382613e-06
"16","2011-01-16/2011-01-19","2011-01-20","ARIMA(0,1,2)",0.00358505372669574,0.00373514036583404,0.00282483005594334,0.00296722000984849,0.403774216968842,0.414871562676554,0.26322172567955,0.359400714013429,0,3.54821070280052e-08,8.68792811724056e-08
